Assay_Type	AssemblyName	AvgSpotLen	BioProject	BioSample	BioSampleModel	Center_Name	Consent	DATASTORE_filetype	DATASTORE_provider	DATASTORE_region	ENA_FIRST_PUBLIC	Experiment	HLA_Risk_Class	InsertSize	Instrument	LibraryLayout	LibrarySelection	LibrarySource	Library_Name	LoadDate	MBases	MBytes	Organism	Platform	ReleaseDate	Run	SRA_Sample	SRA_Study	Sample_Name	collection_date	data_type	flowcell_barcode	geo_loc_name	host	host_subject_id	instrument_name	lane	lat_lon	library_type	product_order	product_part_number	read_group_id	run_barcode	run_name	sex	source_name	tissue	treatment	work_request
OTHER		150	PRJEB14696	SAMEA4064989		UNIVERSITY OF CALIFORNIA SAN DIEGO MICROBIOME INIT	public	contigs fastq sra	ftp-ena gs ncbi s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va	2016-07-06	ERX1588961		0	Illumina MiSeq	SINGLE	PCR	METAGENOMIC	10508.BP14.6.fec	2016-10-03	2	1	mouse gut metagenome	ILLUMINA	2016-07-12	ERR1517982	ERS1236099	ERP016357	SAMEA4064989				USA:NY:NYC		BP14										male			PAT	
OTHER		150	PRJEB14696	SAMEA4064990		UNIVERSITY OF CALIFORNIA SAN DIEGO MICROBIOME INIT	public	contigs fastq sra	ftp-ena gs ncbi s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va	2016-07-06	ERX1588962		0	Illumina MiSeq	SINGLE	PCR	METAGENOMIC	10508.BP15.10.fec	2016-10-03	2	1	mouse gut metagenome	ILLUMINA	2016-07-12	ERR1517983	ERS1236100	ERP016357	SAMEA4064990				USA:NY:NYC		BP15										male			PAT	
OTHER		150	PRJEB14696	SAMEA4064991		UNIVERSITY OF CALIFORNIA SAN DIEGO MICROBIOME INIT	public	contigs fastq sra	ftp-ena gs ncbi s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va	2016-07-06	ERX1588963		0	Illumina MiSeq	SINGLE	PCR	METAGENOMIC	10508.BP15.13.fec	2016-10-03	1	1	mouse gut metagenome	ILLUMINA	2016-07-12	ERR1517984	ERS1236101	ERP016357	SAMEA4064991				USA:NY:NYC		BP15										male			PAT	
OTHER		150	PRJEB14696	SAMEA4064992		UNIVERSITY OF CALIFORNIA SAN DIEGO MICROBIOME INIT	public	contigs fastq sra	ftp-ena gs ncbi s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va	2016-07-06	ERX1588964		0	Illumina MiSeq	SINGLE	PCR	METAGENOMIC	10508.BP15.3.fec	2016-10-03	1	0	mouse gut metagenome	ILLUMINA	2016-07-12	ERR1517985	ERS1236102	ERP016357	SAMEA4064992				USA:NY:NYC		BP15										male			PAT	
OTHER		150	PRJEB14696	SAMEA4064993		UNIVERSITY OF CALIFORNIA SAN DIEGO MICROBIOME INIT	public	contigs fastq sra	ftp-ena gs ncbi s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va	2016-07-06	ERX1588965		0	Illumina MiSeq	SINGLE	PCR	METAGENOMIC	10508.BP15.6.fec	2016-10-03	1	0	mouse gut metagenome	ILLUMINA	2016-07-12	ERR1517986	ERS1236103	ERP016357	SAMEA4064993				USA:NY:NYC		BP15										male			PAT	
OTHER		150	PRJEB14696	SAMEA4064994		UNIVERSITY OF CALIFORNIA SAN DIEGO MICROBIOME INIT	public	contigs fastq sra	ftp-ena gs ncbi s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va	2016-07-06	ERX1588966		0	Illumina MiSeq	SINGLE	PCR	METAGENOMIC	10508.BP16.10.fec	2016-10-03	3	1	mouse gut metagenome	ILLUMINA	2016-07-12	ERR1517987	ERS1236104	ERP016357	SAMEA4064994				USA:NY:NYC		BP16										male			PAT	
OTHER		150	PRJEB14696	SAMEA4064995		UNIVERSITY OF CALIFORNIA SAN DIEGO MICROBIOME INIT	public	contigs fastq sra	ftp-ena gs ncbi s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va	2016-07-06	ERX1588967		0	Illumina MiSeq	SINGLE	PCR	METAGENOMIC	10508.BP16.13.fec	2016-10-03	2	1	mouse gut metagenome	ILLUMINA	2016-07-12	ERR1517988	ERS1236105	ERP016357	SAMEA4064995				USA:NY:NYC		BP16										male			PAT	
OTHER		150	PRJEB14696	SAMEA4064996		UNIVERSITY OF CALIFORNIA SAN DIEGO MICROBIOME INIT	public	contigs fastq sra	ftp-ena gs ncbi s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va	2016-07-06	ERX1588968		0	Illumina MiSeq	SINGLE	PCR	METAGENOMIC	10508.BP16.3.fec	2016-10-03	1	0	mouse gut metagenome	ILLUMINA	2016-07-12	ERR1517989	ERS1236106	ERP016357	SAMEA4064996				USA:NY:NYC		BP16										male			PAT	
OTHER		150	PRJEB14696	SAMEA4064997		UNIVERSITY OF CALIFORNIA SAN DIEGO MICROBIOME INIT	public	contigs fastq sra	ftp-ena gs ncbi s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va	2016-07-06	ERX1588969		0	Illumina MiSeq	SINGLE	PCR	METAGENOMIC	10508.BP16.6.fec	2016-10-03	2	1	mouse gut metagenome	ILLUMINA	2016-07-12	ERR1517990	ERS1236107	ERP016357	SAMEA4064997				USA:NY:NYC		BP16										male			PAT	
OTHER		150	PRJEB14696	SAMEA4064998		UNIVERSITY OF CALIFORNIA SAN DIEGO MICROBIOME INIT	public	contigs fastq sra	ftp-ena gs ncbi s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va	2016-07-06	ERX1588970		0	Illumina MiSeq	SINGLE	PCR	METAGENOMIC	10508.BP17.10.fec	2016-10-03	2	1	mouse gut metagenome	ILLUMINA	2016-07-12	ERR1517991	ERS1236108	ERP016357	SAMEA4064998				USA:NY:NYC		BP17										male			PAT	
OTHER		150	PRJEB14696	SAMEA4064999		UNIVERSITY OF CALIFORNIA SAN DIEGO MICROBIOME INIT	public	contigs fastq sra	ftp-ena gs ncbi s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va	2016-07-06	ERX1588971		0	Illumina MiSeq	SINGLE	PCR	METAGENOMIC	10508.BP17.13.fec	2016-10-03	1	1	mouse gut metagenome	ILLUMINA	2016-07-12	ERR1517992	ERS1236109	ERP016357	SAMEA4064999				USA:NY:NYC		BP17										male			PAT	
OTHER		150	PRJEB14696	SAMEA4065000		UNIVERSITY OF CALIFORNIA SAN DIEGO MICROBIOME INIT	public	contigs fastq sra	ftp-ena gs ncbi s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va	2016-07-06	ERX1588972		0	Illumina MiSeq	SINGLE	PCR	METAGENOMIC	10508.BP17.3.fec	2016-10-03	1	0	mouse gut metagenome	ILLUMINA	2016-07-12	ERR1517993	ERS1236110	ERP016357	SAMEA4065000				USA:NY:NYC		BP17										male			PAT	
OTHER		150	PRJEB14696	SAMEA4065001		UNIVERSITY OF CALIFORNIA SAN DIEGO MICROBIOME INIT	public	contigs fastq run.zq sra	ftp-ena gs ncbi s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va	2016-07-06	ERX1588973		0	Illumina MiSeq	SINGLE	PCR	METAGENOMIC	10508.BP17.6.fec	2016-10-03	2	1	mouse gut metagenome	ILLUMINA	2016-07-12	ERR1517994	ERS1236111	ERP016357	SAMEA4065001				USA:NY:NYC		BP17										male			PAT	
OTHER		150	PRJEB14696	SAMEA4065002		UNIVERSITY OF CALIFORNIA SAN DIEGO MICROBIOME INIT	public	contigs fastq sra	ftp-ena gs ncbi s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va	2016-07-06	ERX1588974		0	Illumina MiSeq	SINGLE	PCR	METAGENOMIC	10508.BP18.10.fec	2016-10-03	2	1	mouse gut metagenome	ILLUMINA	2016-07-12	ERR1517995	ERS1236112	ERP016357	SAMEA4065002				USA:NY:NYC		BP18										male			PAT	
OTHER		150	PRJEB14696	SAMEA4065003		UNIVERSITY OF CALIFORNIA SAN DIEGO MICROBIOME INIT	public	contigs fastq run.zq sra	ftp-ena gs ncbi s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va	2016-07-06	ERX1588975		0	Illumina MiSeq	SINGLE	PCR	METAGENOMIC	10508.BP18.13.fec	2016-10-03	2	1	mouse gut metagenome	ILLUMINA	2016-07-12	ERR1517996	ERS1236113	ERP016357	SAMEA4065003				USA:NY:NYC		BP18										male			PAT	
OTHER		150	PRJEB14696	SAMEA4065004		UNIVERSITY OF CALIFORNIA SAN DIEGO MICROBIOME INIT	public	contigs fastq run.zq sra	ftp-ena gs ncbi s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va	2016-07-06	ERX1588976		0	Illumina MiSeq	SINGLE	PCR	METAGENOMIC	10508.BP18.3.fec	2016-10-03	2	1	mouse gut metagenome	ILLUMINA	2016-07-12	ERR1517997	ERS1236114	ERP016357	SAMEA4065004				USA:NY:NYC		BP18										male			PAT	
OTHER		150	PRJEB14696	SAMEA4065005		UNIVERSITY OF CALIFORNIA SAN DIEGO MICROBIOME INIT	public	contigs fastq run.zq sra	ftp-ena gs ncbi s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va	2016-07-06	ERX1588977		0	Illumina MiSeq	SINGLE	PCR	METAGENOMIC	10508.BP18.6.fec	2016-10-03	2	1	mouse gut metagenome	ILLUMINA	2016-07-12	ERR1517998	ERS1236115	ERP016357	SAMEA4065005				USA:NY:NYC		BP18										male			PAT	
OTHER		150	PRJEB14696	SAMEA4065006		UNIVERSITY OF CALIFORNIA SAN DIEGO MICROBIOME INIT	public	contigs fastq run.zq sra	ftp-ena gs ncbi s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va	2016-07-06	ERX1588978		0	Illumina MiSeq	SINGLE	PCR	METAGENOMIC	10508.BP49.10.fec	2016-10-03	2	1	mouse gut metagenome	ILLUMINA	2016-07-12	ERR1517999	ERS1236116	ERP016357	SAMEA4065006				USA:NY:NYC		BP49										female			PAT	
OTHER		150	PRJEB14696	SAMEA4065007		UNIVERSITY OF CALIFORNIA SAN DIEGO MICROBIOME INIT	public	contigs fastq run.zq sra	ftp-ena gs ncbi s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va	2016-07-06	ERX1588979		0	Illumina MiSeq	SINGLE	PCR	METAGENOMIC	10508.BP49.13.fec	2016-10-03	2	1	mouse gut metagenome	ILLUMINA	2016-07-12	ERR1518000	ERS1236117	ERP016357	SAMEA4065007				USA:NY:NYC		BP49										female			PAT	
OTHER		150	PRJEB14696	SAMEA4065008		UNIVERSITY OF CALIFORNIA SAN DIEGO MICROBIOME INIT	public	contigs fastq run.zq sra	ftp-ena gs ncbi s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va	2016-07-06	ERX1588980		0	Illumina MiSeq	SINGLE	PCR	METAGENOMIC	10508.BP49.3.fec	2016-10-03	2	1	mouse gut metagenome	ILLUMINA	2016-07-12	ERR1518001	ERS1236118	ERP016357	SAMEA4065008				USA:NY:NYC		BP49										female			PAT	
OTHER		150	PRJEB14696	SAMEA4065009		UNIVERSITY OF CALIFORNIA SAN DIEGO MICROBIOME INIT	public	contigs fastq run.zq sra	ftp-ena gs ncbi s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va	2016-07-06	ERX1588981		0	Illumina MiSeq	SINGLE	PCR	METAGENOMIC	10508.BP49.6.fec	2016-10-03	1	0	mouse gut metagenome	ILLUMINA	2016-07-12	ERR1518002	ERS1236119	ERP016357	SAMEA4065009				USA:NY:NYC		BP49										female			PAT	
OTHER		150	PRJEB14696	SAMEA4065010		UNIVERSITY OF CALIFORNIA SAN DIEGO MICROBIOME INIT	public	contigs fastq run.zq sra	ftp-ena gs ncbi s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va	2016-07-06	ERX1588982		0	Illumina MiSeq	SINGLE	PCR	METAGENOMIC	10508.BP50.10.fec	2016-10-03	3	1	mouse gut metagenome	ILLUMINA	2016-07-12	ERR1518003	ERS1236120	ERP016357	SAMEA4065010				USA:NY:NYC		BP50										female			PAT	
OTHER		150	PRJEB14696	SAMEA4065011		UNIVERSITY OF CALIFORNIA SAN DIEGO MICROBIOME INIT	public	contigs fastq run.zq sra	ftp-ena gs ncbi s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va	2016-07-06	ERX1588983		0	Illumina MiSeq	SINGLE	PCR	METAGENOMIC	10508.BP50.13.fec	2016-10-03	1	1	mouse gut metagenome	ILLUMINA	2016-07-12	ERR1518004	ERS1236121	ERP016357	SAMEA4065011				USA:NY:NYC		BP50										female			PAT	
OTHER		150	PRJEB14696	SAMEA4065012		UNIVERSITY OF CALIFORNIA SAN DIEGO MICROBIOME INIT	public	contigs fastq run.zq sra	ftp-ena gs ncbi s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va	2016-07-06	ERX1588984		0	Illumina MiSeq	SINGLE	PCR	METAGENOMIC	10508.BP50.3.fec	2016-10-03	1	1	mouse gut metagenome	ILLUMINA	2016-07-12	ERR1518005	ERS1236122	ERP016357	SAMEA4065012				USA:NY:NYC		BP50										female			PAT	
OTHER		150	PRJEB14696	SAMEA4065013		UNIVERSITY OF CALIFORNIA SAN DIEGO MICROBIOME INIT	public	contigs fastq run.zq sra	ftp-ena gs ncbi s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va	2016-07-06	ERX1588985		0	Illumina MiSeq	SINGLE	PCR	METAGENOMIC	10508.BP50.6.fec	2016-10-03	2	1	mouse gut metagenome	ILLUMINA	2016-07-12	ERR1518006	ERS1236123	ERP016357	SAMEA4065013				USA:NY:NYC		BP50										female			PAT	
OTHER		150	PRJEB14696	SAMEA4065014		UNIVERSITY OF CALIFORNIA SAN DIEGO MICROBIOME INIT	public	contigs fastq run.zq sra	ftp-ena gs ncbi s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va	2016-07-06	ERX1588986		0	Illumina MiSeq	SINGLE	PCR	METAGENOMIC	10508.BP51.10.fec	2016-10-03	2	1	mouse gut metagenome	ILLUMINA	2016-07-12	ERR1518007	ERS1236124	ERP016357	SAMEA4065014				USA:NY:NYC		BP51										female			PAT	
OTHER		150	PRJEB14696	SAMEA4065015		UNIVERSITY OF CALIFORNIA SAN DIEGO MICROBIOME INIT	public	contigs fastq run.zq sra	ftp-ena gs ncbi s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va	2016-07-06	ERX1588987		0	Illumina MiSeq	SINGLE	PCR	METAGENOMIC	10508.BP51.13.fec	2016-10-03	2	1	mouse gut metagenome	ILLUMINA	2016-07-12	ERR1518008	ERS1236125	ERP016357	SAMEA4065015				USA:NY:NYC		BP51										female			PAT	
OTHER		150	PRJEB14696	SAMEA4065016		UNIVERSITY OF CALIFORNIA SAN DIEGO MICROBIOME INIT	public	contigs fastq run.zq sra	ftp-ena gs ncbi s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va	2016-07-06	ERX1588988		0	Illumina MiSeq	SINGLE	PCR	METAGENOMIC	10508.BP51.3.fec	2016-10-03	1	0	mouse gut metagenome	ILLUMINA	2016-07-12	ERR1518009	ERS1236126	ERP016357	SAMEA4065016				USA:NY:NYC		BP51										female			PAT	
OTHER		150	PRJEB14696	SAMEA4065017		UNIVERSITY OF CALIFORNIA SAN DIEGO MICROBIOME INIT	public	contigs fastq run.zq sra	ftp-ena gs ncbi s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va	2016-07-06	ERX1588989		0	Illumina MiSeq	SINGLE	PCR	METAGENOMIC	10508.BP51.6.fec	2016-10-03	2	1	mouse gut metagenome	ILLUMINA	2016-07-12	ERR1518010	ERS1236127	ERP016357	SAMEA4065017				USA:NY:NYC		BP51										female			PAT	
OTHER		150	PRJEB14696	SAMEA4065018		UNIVERSITY OF CALIFORNIA SAN DIEGO MICROBIOME INIT	public	contigs fastq run.zq sra	ftp-ena gs ncbi s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va	2016-07-06	ERX1588990		0	Illumina MiSeq	SINGLE	PCR	METAGENOMIC	10508.BP52.10.fec	2016-10-03	3	1	mouse gut metagenome	ILLUMINA	2016-07-12	ERR1518011	ERS1236128	ERP016357	SAMEA4065018				USA:NY:NYC		BP52										female			PAT	
OTHER		150	PRJEB14696	SAMEA4065019		UNIVERSITY OF CALIFORNIA SAN DIEGO MICROBIOME INIT	public	contigs fastq run.zq sra	ftp-ena gs ncbi s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va	2016-07-06	ERX1588991		0	Illumina MiSeq	SINGLE	PCR	METAGENOMIC	10508.BP52.13.fec	2016-10-03	2	1	mouse gut metagenome	ILLUMINA	2016-07-12	ERR1518012	ERS1236129	ERP016357	SAMEA4065019				USA:NY:NYC		BP52										female			PAT	
OTHER		150	PRJEB14696	SAMEA4065020		UNIVERSITY OF CALIFORNIA SAN DIEGO MICROBIOME INIT	public	contigs fastq run.zq sra	ftp-ena gs ncbi s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va	2016-07-06	ERX1588992		0	Illumina MiSeq	SINGLE	PCR	METAGENOMIC	10508.BP52.3.fec	2016-10-03	1	0	mouse gut metagenome	ILLUMINA	2016-07-12	ERR1518013	ERS1236130	ERP016357	SAMEA4065020				USA:NY:NYC		BP52										female			PAT	
OTHER		150	PRJEB14696	SAMEA4065021		UNIVERSITY OF CALIFORNIA SAN DIEGO MICROBIOME INIT	public	contigs fastq run.zq sra	ftp-ena gs ncbi s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va	2016-07-06	ERX1588993		0	Illumina MiSeq	SINGLE	PCR	METAGENOMIC	10508.BP52.6.fec	2016-10-03	2	1	mouse gut metagenome	ILLUMINA	2016-07-12	ERR1518014	ERS1236131	ERP016357	SAMEA4065021				USA:NY:NYC		BP52										female			PAT	
OTHER		150	PRJEB14696	SAMEA4065022		UNIVERSITY OF CALIFORNIA SAN DIEGO MICROBIOME INIT	public	contigs fastq run.zq sra	ftp-ena gs ncbi s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va	2016-07-06	ERX1588994		0	Illumina MiSeq	SINGLE	PCR	METAGENOMIC	10508.BP53.10.fec	2016-10-03	2	1	mouse gut metagenome	ILLUMINA	2016-07-12	ERR1518015	ERS1236132	ERP016357	SAMEA4065022				USA:NY:NYC		BP53										male			PAT	
OTHER		150	PRJEB14696	SAMEA4065023		UNIVERSITY OF CALIFORNIA SAN DIEGO MICROBIOME INIT	public	contigs fastq run.zq sra	ftp-ena gs ncbi s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va	2016-07-06	ERX1588995		0	Illumina MiSeq	SINGLE	PCR	METAGENOMIC	10508.BP53.13.fec	2016-10-03	2	1	mouse gut metagenome	ILLUMINA	2016-07-12	ERR1518016	ERS1236133	ERP016357	SAMEA4065023				USA:NY:NYC		BP53										male			PAT	
OTHER		150	PRJEB14696	SAMEA4065024		UNIVERSITY OF CALIFORNIA SAN DIEGO MICROBIOME INIT	public	contigs fastq run.zq sra	ftp-ena gs ncbi s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va	2016-07-06	ERX1588996		0	Illumina MiSeq	SINGLE	PCR	METAGENOMIC	10508.BP53.3.fec	2016-10-03	1	0	mouse gut metagenome	ILLUMINA	2016-07-12	ERR1518017	ERS1236134	ERP016357	SAMEA4065024				USA:NY:NYC		BP53										male			PAT	
OTHER		150	PRJEB14696	SAMEA4065025		UNIVERSITY OF CALIFORNIA SAN DIEGO MICROBIOME INIT	public	contigs fastq run.zq sra	ftp-ena gs ncbi s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va	2016-07-06	ERX1588997		0	Illumina MiSeq	SINGLE	PCR	METAGENOMIC	10508.BP53.6.fec	2016-10-03	2	1	mouse gut metagenome	ILLUMINA	2016-07-12	ERR1518018	ERS1236135	ERP016357	SAMEA4065025				USA:NY:NYC		BP53										male			PAT	
OTHER		150	PRJEB14696	SAMEA4065026		UNIVERSITY OF CALIFORNIA SAN DIEGO MICROBIOME INIT	public	contigs fastq run.zq sra	ftp-ena gs ncbi s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va	2016-07-06	ERX1588998		0	Illumina MiSeq	SINGLE	PCR	METAGENOMIC	10508.BP54.10.fec	2016-10-03	1	1	mouse gut metagenome	ILLUMINA	2016-07-12	ERR1518019	ERS1236136	ERP016357	SAMEA4065026				USA:NY:NYC		BP54										male			PAT	
OTHER		150	PRJEB14696	SAMEA4065027		UNIVERSITY OF CALIFORNIA SAN DIEGO MICROBIOME INIT	public	contigs fastq run.zq sra	ftp-ena gs ncbi s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va	2016-07-06	ERX1588999		0	Illumina MiSeq	SINGLE	PCR	METAGENOMIC	10508.BP54.13.fec	2016-10-03	2	1	mouse gut metagenome	ILLUMINA	2016-07-12	ERR1518020	ERS1236137	ERP016357	SAMEA4065027				USA:NY:NYC		BP54										male			PAT	
OTHER		150	PRJEB14696	SAMEA4065028		UNIVERSITY OF CALIFORNIA SAN DIEGO MICROBIOME INIT	public	contigs fastq run.zq sra	ftp-ena gs ncbi s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va	2016-07-06	ERX1589000		0	Illumina MiSeq	SINGLE	PCR	METAGENOMIC	10508.BP54.3.fec	2016-10-03	1	0	mouse gut metagenome	ILLUMINA	2016-07-12	ERR1518021	ERS1236138	ERP016357	SAMEA4065028				USA:NY:NYC		BP54										male			PAT	
OTHER		150	PRJEB14696	SAMEA4065029		UNIVERSITY OF CALIFORNIA SAN DIEGO MICROBIOME INIT	public	contigs fastq run.zq sra	ftp-ena gs ncbi s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va	2016-07-06	ERX1589001		0	Illumina MiSeq	SINGLE	PCR	METAGENOMIC	10508.BP54.6.fec	2016-10-03	2	1	mouse gut metagenome	ILLUMINA	2016-07-12	ERR1518022	ERS1236139	ERP016357	SAMEA4065029				USA:NY:NYC		BP54										male			PAT	
OTHER		150	PRJEB14696	SAMEA4065030		UNIVERSITY OF CALIFORNIA SAN DIEGO MICROBIOME INIT	public	contigs fastq run.zq sra	ftp-ena gs ncbi s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va	2016-07-06	ERX1589002		0	Illumina MiSeq	SINGLE	PCR	METAGENOMIC	10508.BP55.10.fec	2016-10-03	2	1	mouse gut metagenome	ILLUMINA	2016-07-12	ERR1518023	ERS1236140	ERP016357	SAMEA4065030				USA:NY:NYC		BP55										male			PAT	
OTHER		150	PRJEB14696	SAMEA4065031		UNIVERSITY OF CALIFORNIA SAN DIEGO MICROBIOME INIT	public	contigs fastq run.zq sra	ftp-ena gs ncbi s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va	2016-07-06	ERX1589003		0	Illumina MiSeq	SINGLE	PCR	METAGENOMIC	10508.BP55.13.fec	2016-10-03	2	1	mouse gut metagenome	ILLUMINA	2016-07-12	ERR1518024	ERS1236141	ERP016357	SAMEA4065031				USA:NY:NYC		BP55										male			PAT	
OTHER		150	PRJEB14696	SAMEA4065032		UNIVERSITY OF CALIFORNIA SAN DIEGO MICROBIOME INIT	public	contigs fastq run.zq sra	ftp-ena gs ncbi s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va	2016-07-06	ERX1589004		0	Illumina MiSeq	SINGLE	PCR	METAGENOMIC	10508.BP55.3.fec	2016-10-03	1	0	mouse gut metagenome	ILLUMINA	2016-07-12	ERR1518025	ERS1236142	ERP016357	SAMEA4065032				USA:NY:NYC		BP55										male			PAT	
OTHER		150	PRJEB14696	SAMEA4065033		UNIVERSITY OF CALIFORNIA SAN DIEGO MICROBIOME INIT	public	contigs fastq run.zq sra	ftp-ena gs ncbi s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va	2016-07-06	ERX1589005		0	Illumina MiSeq	SINGLE	PCR	METAGENOMIC	10508.BP55.6.fec	2016-10-03	2	1	mouse gut metagenome	ILLUMINA	2016-07-12	ERR1518026	ERS1236143	ERP016357	SAMEA4065033				USA:NY:NYC		BP55										male			PAT	
OTHER		150	PRJEB14696	SAMEA4065034		UNIVERSITY OF CALIFORNIA SAN DIEGO MICROBIOME INIT	public	contigs fastq run.zq sra	ftp-ena gs ncbi s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va	2016-07-06	ERX1589006		0	Illumina MiSeq	SINGLE	PCR	METAGENOMIC	10508.BP56.10.fec	2016-10-03	3	2	mouse gut metagenome	ILLUMINA	2016-07-12	ERR1518027	ERS1236144	ERP016357	SAMEA4065034				USA:NY:NYC		BP56										male			PAT	
OTHER		150	PRJEB14696	SAMEA4065035		UNIVERSITY OF CALIFORNIA SAN DIEGO MICROBIOME INIT	public	contigs fastq run.zq sra	ftp-ena gs ncbi s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va	2016-07-06	ERX1589007		0	Illumina MiSeq	SINGLE	PCR	METAGENOMIC	10508.BP56.13.fec	2016-10-03	2	1	mouse gut metagenome	ILLUMINA	2016-07-12	ERR1518028	ERS1236145	ERP016357	SAMEA4065035				USA:NY:NYC		BP56										male			PAT	
OTHER		150	PRJEB14696	SAMEA4065036		UNIVERSITY OF CALIFORNIA SAN DIEGO MICROBIOME INIT	public	contigs fastq run.zq sra	ftp-ena gs ncbi s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va	2016-07-06	ERX1589008		0	Illumina MiSeq	SINGLE	PCR	METAGENOMIC	10508.BP56.3.fec	2016-10-03	2	1	mouse gut metagenome	ILLUMINA	2016-07-12	ERR1518029	ERS1236146	ERP016357	SAMEA4065036				USA:NY:NYC		BP56										male			PAT	
OTHER		150	PRJEB14696	SAMEA4065037		UNIVERSITY OF CALIFORNIA SAN DIEGO MICROBIOME INIT	public	contigs fastq run.zq sra	ftp-ena gs ncbi s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va	2016-07-06	ERX1589009		0	Illumina MiSeq	SINGLE	PCR	METAGENOMIC	10508.BP56.6.fec	2016-10-03	2	1	mouse gut metagenome	ILLUMINA	2016-07-12	ERR1518030	ERS1236147	ERP016357	SAMEA4065037				USA:NY:NYC		BP56										male			PAT	
OTHER		150	PRJEB14696	SAMEA4065038		UNIVERSITY OF CALIFORNIA SAN DIEGO MICROBIOME INIT	public	contigs fastq run.zq sra	ftp-ena gs ncbi s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va	2016-07-06	ERX1589010		0	Illumina MiSeq	SINGLE	PCR	METAGENOMIC	10508.BP57.10.fec	2016-10-03	2	1	mouse gut metagenome	ILLUMINA	2016-07-12	ERR1518031	ERS1236148	ERP016357	SAMEA4065038				USA:NY:NYC		BP57										male			PAT	
